client_no,age,gender,edu,marital,card_type
181,55,F,Post-Graduate,Married,Blue
182,57,F,Uneducated,Married,Blue
183,40,F,Graduate,Married,Blue
184,51,M,Unknown,Single,Blue
185,42,M,Unknown,Married,Blue
186,49,F,Uneducated,Divorced,Blue
187,60,M,High School,Single,Blue
188,44,F,Unknown,Married,Blue
189,49,M,Post-Graduate,Single,Silver
190,48,M,Uneducated,Single,Silver
191,43,M,High School,Married,Blue
192,61,M,High School,Single,Silver
193,47,M,Uneducated,Unknown,Blue
194,54,M,High School,Married,Blue
195,43,F,College,Divorced,Blue
196,62,F,Graduate,Married,Blue
197,60,F,Uneducated,Single,Blue
198,37,M,Graduate,Married,Blue
199,39,M,Uneducated,Married,Blue
200,38,F,College,Married,Blue
201,40,F,High School,Married,Blue
202,37,F,High School,Married,Blue
203,46,F,Graduate,Married,Blue
204,50,M,College,Married,Blue
205,54,F,Graduate,Married,Blue
206,43,F,Graduate,Divorced,Blue
207,37,M,Uneducated,Single,Blue
208,45,F,Graduate,Single,Blue
209,39,M,Post-Graduate,Unknown,Blue
210,35,M,Doctorate,Single,Blue
211,50,F,College,Married,Blue
212,44,F,Unknown,Married,Blue
213,58,F,Doctorate,Married,Blue
214,36,M,High School,Married,Blue
215,45,F,Graduate,Single,Blue
216,50,F,High School,Married,Blue
217,51,F,College,Single,Blue
218,38,F,High School,Single,Blue
219,32,F,High School,Single,Blue
220,43,M,College,Married,Blue
221,50,M,High School,Single,Blue
222,40,M,Uneducated,Married,Blue
223,42,F,Graduate,Divorced,Blue
224,65,F,High School,Single,Blue
225,33,M,College,Married,Gold
226,40,M,High School,Married,Blue
227,49,M,Graduate,Married,Silver
228,45,F,Unknown,Single,Silver
229,46,F,Uneducated,Divorced,Blue
230,43,F,Unknown,Divorced,Blue
231,40,M,Unknown,Divorced,Gold
232,56,M,High School,Married,Blue
233,38,M,Graduate,Single,Blue
234,36,F,Graduate,Unknown,Blue
235,44,F,High School,Single,Blue
236,53,M,Uneducated,Single,Blue
237,65,F,Unknown,Married,Blue
238,39,M,College,Married,Blue
239,27,F,Graduate,Single,Blue
240,35,F,Uneducated,Single,Blue
241,42,M,High School,Single,Blue
242,46,M,Graduate,Married,Blue
243,40,F,Uneducated,Married,Blue
244,56,F,Graduate,Married,Blue
245,42,F,College,Married,Blue
246,56,F,Graduate,Divorced,Blue
247,44,M,Unknown,Married,Blue
248,34,M,Uneducated,Single,Blue
249,35,M,Unknown,Single,Blue
250,39,F,Unknown,Single,Blue
251,35,M,Uneducated,Single,Blue
252,49,F,Uneducated,Married,Blue
253,43,M,Uneducated,Single,Blue
254,53,F,High School,Single,Blue
255,49,F,Graduate,Single,Blue
256,40,F,Uneducated,Married,Blue
257,39,F,Graduate,Single,Blue
258,44,F,Unknown,Divorced,Blue
259,51,M,High School,Single,Blue
260,56,M,Graduate,Married,Blue
261,47,F,Uneducated,Married,Blue
262,38,M,College,Married,Blue
263,51,F,Doctorate,Married,Platinum
264,49,F,High School,Divorced,Blue
265,60,F,College,Single,Blue
266,40,F,College,Married,Blue
267,41,M,Unknown,Married,Silver
268,57,M,College,Married,Blue
269,40,M,Graduate,Married,Blue
270,43,M,Unknown,Married,Blue
271,39,M,Graduate,Married,Blue
272,54,M,College,Single,Blue
273,48,F,Uneducated,Married,Blue
274,48,M,Graduate,Married,Blue
275,49,M,High School,Unknown,Blue
276,44,F,Unknown,Unknown,Blue
277,53,F,Graduate,Married,Blue
278,51,F,Unknown,Single,Blue
279,43,F,Unknown,Single,Blue
280,46,F,Graduate,Married,Blue
281,54,F,Graduate,Single,Silver
282,62,F,High School,Married,Blue
283,48,F,Unknown,Unknown,Blue
284,44,F,High School,Single,Blue
285,50,F,High School,Single,Silver
286,55,F,Uneducated,Unknown,Blue
287,56,M,High School,Unknown,Blue
288,39,F,High School,Single,Blue
289,39,F,Uneducated,Single,Blue
290,40,F,Uneducated,Single,Blue
291,35,F,Unknown,Married,Blue
292,36,F,High School,Single,Blue
293,47,M,Doctorate,Married,Blue
294,39,F,Uneducated,Divorced,Blue
295,57,M,Graduate,Unknown,Blue
296,50,F,Graduate,Single,Blue
297,45,M,Doctorate,Married,Silver
298,57,M,Unknown,Married,Blue
299,45,F,Graduate,Married,Blue
300,42,F,High School,Single,Silver
301,44,M,College,Married,Blue
302,56,F,Graduate,Married,Blue
303,39,F,Uneducated,Single,Blue
304,48,F,Graduate,Single,Blue
305,47,F,High School,Single,Blue
306,42,F,Graduate,Single,Blue
307,62,M,Uneducated,Single,Blue
308,53,F,High School,Married,Blue
309,50,F,Doctorate,Single,Blue
310,35,F,High School,Married,Blue
311,40,M,Graduate,Married,Blue
312,45,M,Graduate,Married,Blue
313,52,M,High School,Married,Blue
314,35,M,High School,Married,Blue
315,37,F,Unknown,Married,Blue
316,43,M,Graduate,Married,Blue
317,37,F,Graduate,Single,Blue
318,45,F,Doctorate,Married,Blue
319,48,F,Uneducated,Single,Blue
320,44,F,High School,Married,Blue
321,49,M,Graduate,Married,Blue
322,48,F,Uneducated,Single,Blue
323,47,M,High School,Single,Blue
324,52,F,High School,Married,Blue
325,46,M,Post-Graduate,Married,Blue
326,51,F,Doctorate,Married,Blue
327,43,M,Uneducated,Married,Blue
328,41,M,Uneducated,Married,Blue
329,52,F,Graduate,Unknown,Blue
330,47,F,Graduate,Unknown,Blue
331,54,M,Unknown,Married,Blue
332,43,F,Graduate,Single,Blue
333,47,F,Uneducated,Single,Blue
334,47,F,Graduate,Unknown,Blue
335,64,F,College,Unknown,Blue
336,42,M,Uneducated,Unknown,Blue
337,46,M,Doctorate,Divorced,Blue
338,46,F,High School,Unknown,Blue
339,30,F,Graduate,Single,Blue
340,49,F,Unknown,Single,Blue
341,37,F,Unknown,Single,Blue
342,40,M,Post-Graduate,Married,Blue
343,57,F,Uneducated,Single,Blue
344,44,F,Doctorate,Divorced,Blue
345,30,M,Graduate,Married,Silver
346,51,F,Graduate,Married,Blue
347,41,F,Graduate,Divorced,Blue
348,37,M,Graduate,Married,Blue
349,49,F,Graduate,Married,Blue
350,47,M,Graduate,Single,Blue
351,41,M,Uneducated,Single,Blue
352,41,F,High School,Married,Blue
353,36,M,Unknown,Married,Blue
354,47,M,Post-Graduate,Unknown,Blue
355,43,F,Unknown,Single,Silver
356,53,F,High School,Single,Blue
357,41,M,Graduate,Single,Blue
358,50,F,High School,Single,Blue
359,45,F,Uneducated,Divorced,Blue
360,55,M,College,Married,Blue
361,41,M,High School,Married,Blue
362,43,F,Uneducated,Married,Blue
363,40,F,Graduate,Divorced,Blue
364,46,M,Doctorate,Married,Blue
365,44,F,Doctorate,Unknown,Blue
366,49,F,Unknown,Single,Blue
367,41,M,College,Married,Blue
368,48,M,College,Single,Blue
369,52,M,Uneducated,Single,Blue
370,44,M,Doctorate,Single,Blue
371,36,M,Post-Graduate,Married,Blue
372,47,F,Graduate,Single,Blue
373,38,M,High School,Married,Blue
374,44,F,Graduate,Married,Blue
375,35,M,Unknown,Single,Gold
376,46,M,College,Unknown,Blue
377,43,M,Graduate,Married,Blue
378,52,M,High School,Married,Blue
379,68,M,High School,Married,Blue
380,50,M,High School,Married,Blue
381,53,M,Unknown,Single,Blue
382,60,M,Graduate,Single,Silver
383,47,M,Post-Graduate,Single,Blue
384,45,F,College,Married,Blue
385,51,M,High School,Single,Silver
386,50,F,Uneducated,Married,Blue
387,45,F,High School,Married,Blue
388,48,F,College,Divorced,Blue
389,49,M,College,Married,Blue
390,50,M,Uneducated,Married,Blue
391,48,F,Graduate,Married,Blue
392,56,F,High School,Single,Blue
393,50,M,Graduate,Single,Blue
394,65,M,Graduate,Single,Blue
395,52,M,Doctorate,Married,Blue
396,46,F,College,Married,Blue
397,55,M,Graduate,Single,Blue
398,37,M,Graduate,Married,Blue
399,53,M,College,Single,Silver
400,46,M,Unknown,Married,Blue
401,46,M,College,Single,Blue
402,40,F,Uneducated,Single,Blue
403,52,F,Graduate,Divorced,Blue
404,55,M,Graduate,Single,Blue
405,45,M,Uneducated,Single,Blue
406,38,F,High School,Single,Blue
407,37,F,Graduate,Divorced,Silver
408,50,F,Unknown,Married,Blue
409,37,M,High School,Married,Blue
410,49,F,Doctorate,Unknown,Blue
411,48,M,High School,Single,Blue
412,37,F,Graduate,Married,Blue
413,41,F,Unknown,Unknown,Blue
414,43,M,Graduate,Divorced,Blue
415,53,M,Graduate,Married,Blue
416,34,F,High School,Single,Blue
417,39,F,Graduate,Single,Blue
418,48,M,High School,Single,Blue
419,37,F,High School,Single,Blue
420,63,M,High School,Married,Blue
421,46,F,Uneducated,Single,Blue
422,47,M,Uneducated,Single,Blue
423,46,F,College,Married,Blue
424,36,M,Graduate,Single,Blue
425,54,M,Graduate,Married,Silver
426,50,M,Graduate,Divorced,Blue
427,41,F,College,Married,Blue
428,53,M,Unknown,Married,Blue
429,48,M,Unknown,Divorced,Blue
430,47,M,High School,Married,Blue
431,40,M,High School,Married,Blue
432,46,M,College,Married,Blue
433,48,F,College,Unknown,Blue
434,53,F,Graduate,Single,Blue
435,47,M,Uneducated,Married,Blue
436,42,M,Uneducated,Unknown,Blue
437,38,F,Uneducated,Single,Blue
438,48,F,College,Married,Blue
439,50,M,Graduate,Married,Blue
440,40,M,Post-Graduate,Single,Blue
441,34,M,High School,Married,Blue
442,48,F,Graduate,Single,Blue
443,51,M,Uneducated,Single,Blue
444,37,F,Unknown,Married,Blue
445,50,F,High School,Married,Blue
446,50,F,Graduate,Unknown,Blue
447,55,M,Graduate,Single,Blue
448,49,F,Doctorate,Single,Blue
449,47,F,Post-Graduate,Married,Blue
450,45,M,Unknown,Single,Blue
451,62,M,High School,Single,Blue
452,37,M,Graduate,Married,Blue
453,47,M,College,Married,Blue
454,54,M,Graduate,Married,Blue
455,39,M,Uneducated,Married,Blue
456,40,M,Uneducated,Single,Blue
457,49,M,Uneducated,Married,Blue
458,42,M,Graduate,Single,Silver
459,51,F,Unknown,Married,Blue
460,47,M,College,Married,Blue
461,44,F,College,Married,Blue
462,53,M,High School,Married,Blue
463,44,F,Graduate,Married,Blue
464,41,M,Graduate,Married,Blue
465,38,F,Unknown,Married,Blue
466,43,F,Unknown,Unknown,Blue
467,57,M,Uneducated,Married,Blue
468,51,F,College,Married,Blue
469,47,F,Unknown,Married,Blue
470,42,F,Uneducated,Married,Blue
471,46,M,Unknown,Married,Silver
472,46,F,Graduate,Married,Blue
473,47,F,High School,Single,Blue
474,50,F,Graduate,Unknown,Blue
475,43,F,College,Married,Blue
476,56,F,College,Married,Blue
477,44,F,Graduate,Single,Blue
478,43,F,Uneducated,Single,Blue
479,40,F,College,Divorced,Blue
480,50,M,High School,Married,Blue
481,53,M,College,Single,Blue
482,56,F,Graduate,Single,Blue
483,36,M,College,Single,Blue
484,41,M,Uneducated,Single,Blue
485,26,F,High School,Married,Blue
486,48,F,High School,Single,Blue
487,45,F,Doctorate,Married,Blue
488,56,F,Graduate,Single,Blue
489,65,M,High School,Single,Blue
490,53,F,High School,Married,Blue
491,36,M,Graduate,Single,Blue
492,40,F,College,Single,Blue
493,35,F,Doctorate,Single,Blue
494,51,F,Graduate,Single,Blue
495,57,M,Graduate,Married,Blue
496,45,F,Graduate,Married,Blue
497,36,F,High School,Single,Blue
498,41,F,High School,Divorced,Blue
499,47,M,High School,Single,Blue
500,39,F,College,Single,Blue
501,50,M,Post-Graduate,Married,Silver
502,40,M,Uneducated,Married,Blue
503,49,M,Graduate,Married,Blue
504,41,M,Graduate,Single,Blue
505,42,F,College,Single,Blue
506,42,M,High School,Single,Blue
507,43,M,High School,Single,Blue
508,54,M,Uneducated,Married,Blue
509,56,M,Graduate,Married,Blue
510,43,F,Graduate,Married,Blue
511,49,M,College,Married,Blue
512,42,M,College,Unknown,Blue
513,48,M,Post-Graduate,Divorced,Blue
514,65,F,Graduate,Unknown,Blue
515,45,F,Graduate,Unknown,Blue
516,52,M,Uneducated,Unknown,Blue
517,57,F,College,Single,Blue
518,53,M,Graduate,Married,Blue
519,52,F,Doctorate,Married,Blue
520,43,F,Unknown,Married,Blue
521,36,M,Uneducated,Married,Blue
522,30,F,Unknown,Married,Blue
523,37,M,High School,Married,Blue
524,39,M,Unknown,Divorced,Blue
525,44,M,Graduate,Single,Blue
526,42,F,High School,Single,Blue
527,44,M,Unknown,Single,Blue
528,41,M,Unknown,Single,Gold
529,32,M,Uneducated,Married,Blue
530,47,M,Doctorate,Unknown,Blue
531,39,F,Uneducated,Single,Blue
532,35,F,High School,Married,Blue
533,60,F,Unknown,Single,Blue
534,30,M,High School,Married,Blue
535,54,F,Graduate,Married,Blue
536,50,F,Uneducated,Single,Blue
537,56,F,Post-Graduate,Unknown,Blue
538,50,F,Post-Graduate,Married,Blue
539,40,M,Graduate,Divorced,Blue
540,31,F,Uneducated,Single,Blue
541,38,M,High School,Married,Blue
542,49,M,Uneducated,Married,Blue
543,45,M,Graduate,Single,Silver
544,50,F,Unknown,Married,Blue
545,50,F,Graduate,Single,Blue
546,60,M,Uneducated,Married,Blue
547,55,F,Graduate,Single,Blue
548,36,F,Post-Graduate,Single,Blue
549,44,F,Graduate,Single,Blue
550,44,M,Graduate,Married,Blue
551,50,F,Uneducated,Married,Blue
552,48,F,Doctorate,Married,Blue
553,53,F,Graduate,Married,Blue
554,42,M,High School,Married,Blue
555,39,F,Graduate,Divorced,Blue
556,49,M,Post-Graduate,Unknown,Blue
557,52,M,College,Married,Blue
558,40,M,Post-Graduate,Married,Blue
559,53,M,High School,Married,Blue
560,34,M,Graduate,Divorced,Blue
561,41,M,Unknown,Single,Blue
562,53,M,Uneducated,Single,Blue
563,53,M,Post-Graduate,Married,Blue
564,48,F,Post-Graduate,Married,Blue
565,53,M,Graduate,Single,Blue
566,46,F,Uneducated,Single,Blue
567,56,M,Uneducated,Single,Blue
568,36,F,Graduate,Unknown,Blue
569,44,F,Unknown,Divorced,Blue
570,46,M,College,Married,Silver
571,40,F,Uneducated,Divorced,Blue
572,51,F,Uneducated,Married,Blue
573,49,F,Graduate,Married,Blue
574,49,F,Unknown,Single,Blue
575,44,F,Graduate,Married,Blue
576,62,M,Unknown,Single,Blue
577,53,F,Unknown,Unknown,Blue
578,40,M,Unknown,Single,Blue
579,63,M,Uneducated,Single,Blue
580,50,F,Uneducated,Married,Blue
581,47,F,High School,Single,Blue
582,53,F,Graduate,Single,Blue
583,56,F,Graduate,Married,Blue
584,47,F,Graduate,Single,Blue
585,62,M,Graduate,Married,Blue
586,45,M,Graduate,Single,Platinum
587,59,F,Uneducated,Unknown,Blue
588,54,F,Unknown,Married,Blue
589,40,M,High School,Married,Blue
590,54,M,Graduate,Single,Blue
591,38,F,High School,Single,Blue
592,54,M,Unknown,Married,Blue
593,45,M,High School,Married,Blue
594,43,F,Unknown,Married,Blue
595,36,M,Uneducated,Divorced,Blue
596,48,M,Unknown,Divorced,Blue
597,32,M,Graduate,Divorced,Blue
598,46,M,Graduate,Single,Blue
599,53,M,Graduate,Single,Blue
600,38,M,College,Single,Blue
601,48,M,Graduate,Unknown,Blue
602,44,F,Post-Graduate,Married,Silver
603,59,F,High School,Married,Blue
604,50,M,College,Unknown,Blue
605,65,F,Unknown,Single,Blue
606,41,M,Graduate,Unknown,Silver
607,39,F,College,Single,Blue
608,31,F,Post-Graduate,Single,Blue
609,52,M,High School,Single,Silver
610,48,F,Graduate,Single,Platinum
611,47,M,High School,Single,Blue
612,50,M,High School,Single,Blue
613,45,F,Graduate,Married,Blue
614,49,F,Uneducated,Married,Blue
615,49,F,High School,Single,Gold
616,37,F,Graduate,Single,Silver
617,44,F,High School,Single,Blue
618,58,F,High School,Single,Blue
619,39,F,Uneducated,Married,Blue
620,49,M,Uneducated,Married,Blue
621,56,F,Graduate,Single,Blue
622,43,M,Unknown,Single,Blue
623,39,F,Graduate,Single,Blue
624,53,F,Doctorate,Married,Blue
625,55,F,Uneducated,Married,Blue
626,63,F,Unknown,Single,Blue
627,35,M,Graduate,Married,Blue
628,52,F,Graduate,Married,Blue
629,34,M,High School,Single,Blue
630,36,F,High School,Married,Blue
631,45,F,Doctorate,Divorced,Blue
632,43,F,College,Married,Blue
633,28,M,Unknown,Single,Blue
634,56,M,Graduate,Married,Blue
635,43,M,Uneducated,Married,Blue
636,37,F,Unknown,Married,Silver
637,29,F,Unknown,Unknown,Blue
638,58,F,College,Married,Blue
639,39,M,Graduate,Married,Blue
640,57,M,Uneducated,Married,Blue
641,49,M,Graduate,Married,Blue
642,55,F,Graduate,Married,Blue
643,31,M,Unknown,Unknown,Blue
644,42,F,Doctorate,Married,Blue
645,43,F,Graduate,Single,Blue
646,33,F,College,Single,Blue
647,48,M,Uneducated,Married,Blue
648,40,M,High School,Divorced,Blue
649,34,F,Graduate,Single,Blue
650,36,M,Graduate,Married,Blue
651,46,M,Graduate,Divorced,Blue
652,51,M,High School,Single,Silver
653,54,M,High School,Married,Blue
654,56,M,High School,Unknown,Blue
655,45,M,Uneducated,Unknown,Blue
656,56,M,High School,Single,Blue
657,37,F,Unknown,Single,Blue
658,45,M,Graduate,Married,Blue
659,58,F,Graduate,Married,Blue
660,46,M,Graduate,Single,Blue
661,56,M,Doctorate,Married,Blue
662,49,F,Graduate,Divorced,Blue
663,40,M,High School,Unknown,Blue
664,53,F,Unknown,Married,Blue
665,42,M,Unknown,Married,Blue
666,53,F,Unknown,Single,Blue
667,56,F,Uneducated,Single,Blue
668,38,F,Uneducated,Married,Blue
669,38,F,Uneducated,Single,Blue
670,46,M,Graduate,Single,Blue
671,45,M,Graduate,Married,Blue
672,49,M,High School,Single,Blue
673,63,F,High School,Married,Blue
674,56,F,High School,Single,Blue
675,48,F,Graduate,Single,Blue
676,49,F,Unknown,Married,Blue
677,47,F,Unknown,Unknown,Blue
678,38,F,Doctorate,Married,Blue
679,62,F,Post-Graduate,Married,Blue
680,56,M,Graduate,Married,Blue
681,64,F,High School,Married,Blue
682,47,M,Unknown,Single,Blue
683,51,M,College,Married,Silver
684,39,M,Graduate,Married,Blue
685,42,F,College,Married,Blue
686,55,M,Uneducated,Married,Blue
687,37,F,High School,Single,Blue
688,36,F,College,Single,Blue
689,43,F,Uneducated,Married,Blue
690,55,F,High School,Married,Blue
691,33,F,Graduate,Married,Blue
692,51,F,Unknown,Married,Silver
693,42,M,College,Single,Blue
694,42,M,Unknown,Single,Blue
695,63,F,Unknown,Married,Blue
696,44,F,Graduate,Single,Blue
697,44,F,High School,Married,Blue
698,46,F,College,Married,Blue
699,33,F,Graduate,Single,Blue
700,45,F,College,Single,Blue
701,49,M,High School,Unknown,Blue
702,41,M,High School,Married,Blue
703,30,M,Graduate,Divorced,Blue
704,50,F,Graduate,Married,Blue
705,53,M,Uneducated,Married,Blue
706,65,F,Uneducated,Unknown,Silver
707,53,M,High School,Married,Blue
708,45,M,Doctorate,Single,Gold
709,53,M,High School,Married,Blue
710,58,F,Uneducated,Divorced,Blue
711,57,M,Graduate,Married,Blue
712,37,M,College,Married,Blue
713,37,M,Graduate,Married,Blue
714,33,F,High School,Single,Blue
715,37,F,Uneducated,Married,Blue
716,39,M,Uneducated,Single,Blue
717,44,M,Doctorate,Unknown,Blue
718,51,M,Graduate,Married,Blue
719,53,F,Graduate,Married,Blue
720,40,F,College,Single,Silver
721,39,M,Uneducated,Single,Blue
722,49,F,Graduate,Single,Blue
723,55,F,Unknown,Single,Blue
724,50,F,Uneducated,Single,Blue
725,32,M,Graduate,Married,Blue
726,40,F,Graduate,Single,Blue
727,40,F,Uneducated,Married,Blue
728,58,F,Graduate,Single,Blue
729,48,M,Uneducated,Married,Blue
730,53,M,Graduate,Single,Blue
731,40,F,Uneducated,Single,Blue
732,58,M,Uneducated,Married,Blue
733,40,F,Doctorate,Married,Blue
734,53,M,Uneducated,Married,Blue
735,33,F,Graduate,Married,Blue
736,41,M,High School,Single,Blue
737,39,M,Post-Graduate,Single,Silver
738,53,M,Graduate,Single,Blue
739,46,F,College,Divorced,Blue
740,38,F,Graduate,Single,Blue
741,46,M,College,Married,Blue
742,65,M,Doctorate,Divorced,Blue
743,34,M,Uneducated,Married,Blue
744,51,F,Graduate,Single,Blue
745,37,F,Graduate,Married,Blue
746,40,F,College,Married,Blue
747,29,M,Graduate,Married,Blue
748,42,F,Graduate,Single,Blue
749,41,F,High School,Married,Blue
750,41,F,Graduate,Married,Blue
751,59,F,High School,Single,Blue
752,54,M,Graduate,Married,Blue
753,38,M,High School,Single,Silver
754,46,F,High School,Single,Silver
755,52,M,Doctorate,Married,Blue
756,48,M,Post-Graduate,Single,Blue
757,56,M,High School,Married,Blue
758,55,F,High School,Married,Blue
759,50,M,High School,Single,Blue
760,44,F,High School,Married,Blue
761,56,F,Post-Graduate,Single,Blue
762,49,F,High School,Single,Blue
763,31,M,Uneducated,Married,Blue
764,56,F,Graduate,Married,Blue
765,50,F,High School,Married,Blue
766,42,F,Graduate,Married,Blue
767,59,F,High School,Married,Blue
768,62,M,Post-Graduate,Divorced,Silver
769,44,M,High School,Unknown,Blue
770,52,M,Unknown,Single,Blue
771,65,M,High School,Married,Blue
772,43,F,Graduate,Married,Blue
773,40,M,Unknown,Unknown,Blue
774,39,F,Unknown,Married,Blue
775,42,F,Graduate,Divorced,Blue
776,56,F,Graduate,Unknown,Blue
777,38,F,High School,Divorced,Blue
